ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME
10107,30,95.7,2871,2/24/2003 0:00 ,Shipped   ,1,2,2003,Motorcycles ,S10_1678,Land of Toys Inc.             ,2125557818      ,897 Long Airport Avenue                 ,NYC           ,NY        ,10022   ,United States,Yu        ,Kwai     
10121,34,81.3,2765.9,5/7/2003 0:00  ,Shipped   ,2,5,2003,Motorcycles ,S10_1678,Reims Collectables            ,26.47.1555      ,59 rue de l'Abbaye                      ,Reims         ,,51100   ,France       ,Henriot   ,Paul     
10134,41,94.7,3884.3,7/1/2003 0:00  ,Shipped   ,3,7,2003,Motorcycles ,S10_1678,Lyon Souveniers               ,+33 1 46 62 7555,27 rue du Colonel Pierre Avia           ,Paris         ,,75508   ,France       ,Da Cunha  ,Daniel   
10145,45,83.3,3746.7,8/25/2003 0:00 ,Shipped   ,3,8,2003,Motorcycles ,S10_1678,Toys4GrownUps.com             ,6265557265      ,78934 Hillside Dr.                      ,Pasadena      ,CA        ,90003   ,USA          ,Young     ,Julie    
10159,49,100,5205.3,10/10/2003 0:00,Shipped   ,4,10,2003,Motorcycles ,S10_1678,Corporate Gift Ideas Co.      ,6505551386      ,7734 Strong St.                         ,San Francisco ,CA        ,,United States,Brown     ,Julie    
10168,36,96.7,3479.8,10/28/2003 0:00,Shipped   ,4,10,2003,Motorcycles ,S10_1678,Technics Stores Inc.          ,6505556809      ,9408 Furth Circle                       ,Burlingame    ,CA        ,94217   ,USA          ,Hirano    ,Juri     
10180,29,86.1,2497.8,11/11/2003 0:00,Shipped   ,4,11,2003,Motorcycles ,S10_1678,Daedalus Designs Imports      ,20.16.1555      ,"184, chauss‚e de Tournai                ",Lille         ,,59000   ,France       ,Ranc‚     ,Martine  
10188,48,100,5512.3,11/18/2003 0:00,Shipped   ,4,11,2003,Motorcycles ,S10_1678,Herkku Gifts                  ,+47 2267 3215   ,"Drammen 121, PR 744 Sentrum             ",Bergen        ,,N 5804  ,Norway       ,Oeztan    ,Veysel   
10201,22,98.6,2168.5,12/1/2003 0:00 ,Shipped   ,4,12,2003,Motorcycles ,S10_1678,Mini Wheels Co.               ,6505555787      ,5557 North Pendale Street               ,San Francisco ,CA        ,,United States,Murphy    ,Julie    
10211,41,100,4708.4,1/15/2004 0:00 ,Shipped   ,1,1,2004,Motorcycles ,S10_1678,Auto Canal+ Petit             ,(1) 47.55.6555  ,"25, rue Lauriston                       ",Paris         ,,75016   ,France       ,Perrier   ,Dominique
10223,37,100,3965.7,2/20/2004 0:00 ,Shipped   ,1,2,2004,Motorcycles ,S10_1678,"Australian Collectors, Co.    ",03 9520 4555    ,636 St Kilda Road                       ,Melbourne     ,Victoria  ,3004    ,Australia    ,Ferguson  ,Peter    
10237,23,100,2333.1,4/5/2004 0:00  ,Shipped   ,2,4,2004,Motorcycles ,S10_1678,Vitachrome Inc.               ,2125551500      ,2678 Kingston Rd.                       ,NYC           ,NY        ,10022   ,USA          ,Frick     ,Michael  
10251,28,100,3188.6,5/18/2004 0:00 ,Shipped   ,2,5,2004,Motorcycles ,S10_1678,Tekni Collectables Inc.       ,2015559350      ,7476 Moss Rd.                           ,Newark        ,NJ        ,94019   ,USA          ,Brown     ,William  
10263,34,100,3676.8,6/28/2004 0:00 ,Shipped   ,2,6,2004,Motorcycles ,S10_1678,Gift Depot Inc.               ,2035552570      ,25593 South Bay Ln.                     ,Bridgewater   ,CT        ,97562   ,United States,King      ,Julie    
10275,45,92.8,4177.4,7/23/2004 0:00 ,Shipped   ,3,7,2004,Motorcycles ,S10_1678,La Rochelle Gifts             ,40.67.8555      ,"67, rue des Cinquante Otages            ",Nantes        ,,44000   ,France       ,Labrune   ,Janine   
10285,36,100,4099.7,8/27/2004 0:00 ,Shipped   ,3,8,2004,Motorcycles ,S10_1678,Marta's Replicas Co.          ,6175558555      ,39323 Spinnaker Dr.                     ,Cambridge     ,MA        ,51247   ,USA          ,Hernandez ,Marta    
10299,23,100,2597.4,9/30/2004 0:00 ,Shipped   ,3,9,2004,Motorcycles ,S10_1678,"Toys of Finland, Co.          ",90-224 8555     ,Keskuskatu 45                           ,Helsinki      ,,21240   ,Finland      ,Karttunen ,Matti    
10309,41,100,4394.4,10/15/2004 0:00,Shipped   ,4,10,2004,Motorcycles ,S10_1678,Baane Mini Imports            ,07-98 9555      ,Erling Skakkes gate 78                  ,Stavern       ,,4110    ,Norway       ,Bergulfsen,Jonas    
10318,46,94.7,4358,11/2/2004 0:00 ,Shipped   ,4,11,2004,Motorcycles ,S10_1678,Diecast Classics Inc.         ,2155551555      ,7586 Pompton St.                        ,Allentown     ,PA        ,70267   ,USA          ,Yu        ,Kyung    
10329,42,100,4396.1,11/15/2004 0:00,Shipped   ,4,11,2004,Motorcycles ,S10_1678,Land of Toys Inc.             ,2125557818      ,897 Long Airport Avenue                 ,NYC           ,NY        ,10022   ,United States,Yu        ,Kwai     
10341,41,100,7737.9,11/24/2004 0:00,Shipped   ,4,11,2004,Motorcycles ,S10_1678,Salzburg Collectables         ,6562-9555       ,Geislweg 14                             ,Salzburg      ,,5020    ,Austria      ,Pipps     ,Georg    
10361,20,72.5,1451,12/17/2004 0:00,Shipped   ,4,12,2004,Motorcycles ,S10_1678,Souveniers And Things Co.     ,+61 2 9495 8555 ,"Monitor Money Building, 815 Pacific Hwy ",Chatswood     ,NSW       ,2067    ,Australia    ,Huxley    ,Adrian   
10375,21,34.9,733.1,2/3/2005 0:00  ,Shipped   ,1,2,2005,Motorcycles ,S10_1678,La Rochelle Gifts             ,40.67.8555      ,"67, rue des Cinquante Otages            ",Nantes        ,,44000   ,France       ,Labrune   ,Janine   
10388,42,76.4,3207.1,3/3/2005 0:00  ,Shipped   ,1,3,2005,Motorcycles ,S10_1678,FunGiftIdeas.com              ,5085552555      ,1785 First Street                       ,New Bedford   ,MA        ,50553   ,USA          ,Benitez   ,Violeta  
10403,24,100,2434.6,4/8/2005 0:00  ,Shipped   ,2,4,2005,Motorcycles ,S10_1678,"UK Collectables, Ltd.         ",(171) 555-2282  ,Berkeley Gardens 12  Brewery            ,Liverpool     ,,WX1 6LT ,UK           ,Devon     ,Elizabeth
10417,66,100,7516.1,5/13/2005 0:00 ,Disputed  ,2,5,2005,Motorcycles ,S10_1678,Euro+ Shopping Channel        ,(91) 555 94 44  ,"C/ Moralzarzal, 86                      ",Madrid        ,,28034   ,Spain        ,Freyre    ,Diego    
10103,26,100,5404.6,1/29/2003 0:00 ,Shipped   ,1,1,2003,Classic Cars,S10_1949,Baane Mini Imports            ,07-98 9555      ,Erling Skakkes gate 78                  ,Stavern       ,,4110    ,Norway       ,Bergulfsen,Jonas    
10112,29,100,7209.1,3/24/2003 0:00 ,Shipped   ,1,3,2003,Classic Cars,S10_1949,"Volvo Model Replicas, Co      ",0921-12 3555    ,Berguvsv„gen  8                         ,Lule†         ,,S-958 22,Sweden       ,Berglund  ,Christina
10126,38,100,7329.1,5/28/2003 0:00 ,Shipped   ,2,5,2003,Classic Cars,S10_1949,"Corrida Auto Replicas, Ltd    ",(91) 555 22 82  ,"C/ Araquil, 67                          ",Madrid        ,,28023   ,Spain        ,Sommer    ,Mart¡n   
10140,37,100,7374.1,7/24/2003 0:00 ,Shipped   ,3,7,2003,Classic Cars,S10_1949,Technics Stores Inc.          ,6505556809      ,9408 Furth Circle                       ,Burlingame    ,CA        ,94217   ,USA          ,Hirano    ,Juri     
10150,45,100,10993.5,9/19/2003 0:00 ,Shipped   ,3,9,2003,Classic Cars,S10_1949,"Dragon Souveniers, Ltd.       ",+65 221 7555    ,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye    ",Singapore     ,,079903  ,Singapore    ,Natividad ,Eric     
10163,21,100,4860.2,10/20/2003 0:00,Shipped   ,4,10,2003,Classic Cars,S10_1949,Classic Legends Inc.          ,2125558493      ,5905 Pompton St.                        ,NYC           ,NY        ,10022   ,United States,Hernandez ,Maria    
10174,34,100,8014.8,11/6/2003 0:00 ,Shipped   ,4,11,2003,Classic Cars,S10_1949,"Australian Gift Network, Co   ",61-7-3844-6555  ,31 Duncan St. West End                  ,South Brisbane,Queensland,4101    ,Australia    ,Calaghan  ,Tony     
10183,23,100,5372.6,11/13/2003 0:00,Shipped   ,4,11,2003,Classic Cars,S10_1949,"Classic Gift Ideas, Inc       ",2155554695      ,782 First Street                        ,Philadelphia  ,PA        ,71270   ,USA          ,Cervantes ,Francisca
10194,42,100,7290.4,11/25/2003 0:00,Shipped   ,4,11,2003,Classic Cars,S10_1949,"Saveley & Henriot, Co.        ",78.32.5555      ,"2, rue du Commerce                      ",Lyon          ,,69004   ,France       ,Saveley   ,Mary     
10206,47,100,9064.9,12/5/2003 0:00 ,Shipped   ,4,12,2003,Classic Cars,S10_1949,Canadian Gift Exchange Network,(604) 555-3392  ,1900 Oak St.                            ,Vancouver     ,BC        ,V3F 2K1 ,Canada       ,Tannamuri ,Yoshi    
